DATE;N_AIRTMP_MAX;N_AIRTMP_MIN;above_pct;HW
0;1961-01-01;27.9;19.0;0;0
1;1961-01-02;26.0;19.1;0;0
2;1961-01-03;31.4;19.0;0;0
3;1961-01-04;27.9;20.0;0;0
4;1961-01-05;30.7;18.7;0;0
5;1961-01-06;28.4;19.5;0;0
6;1961-01-07;27.5;19.9;0;0
7;1961-01-08;28.5;19.8;0;0
8;1961-01-09;31.0;20.3;0;0
9;1961-01-10;32.3;20.1;0;0
10;1961-01-11;29.7;20.3;0;0
11;1961-01-12;31.3;19.0;0;0
12;1961-01-13;31.4;16.6;0;0
13;1961-01-14;30.9;18.4;0;0
14;1961-01-15;32.0;16.6;0;0
15;1961-01-16;31.4;16.6;0;0
16;1961-01-17;31.2;18.0;0;0
17;1961-01-18;31.9;19.4;0;0
18;1961-01-19;32.6;20.0;0;0
19;1961-01-20;30.0;18.7;0;0
20;1961-01-21;32.5;18.0;0;0
21;1961-01-22;33.4;19.3;0;0
22;1961-01-23;29.1;20.2;0;0
23;1961-01-24;31.4;19.8;0;0
24;1961-01-25;31.0;19.7;0;0
25;1961-01-26;25.9;18.0;0;0
26;1961-01-27;22.2;17.4;0;0
27;1961-01-28;22.3;17.4;0;0
28;1961-01-29;26.5;17.6;0;0
29;1961-01-30;29.8;18.6;0;0
30;1961-01-31;32.0;18.2;0;0
31;1961-02-01;32.3;17.7;0;0
32;1961-02-02;33.3;17.9;0;0
33;1961-02-03;32.8;17.2;0;0
34;1961-02-04;32.5;19.5;0;0
35;1961-02-05;29.3;18.2;0;0
36;1961-02-06;31.6;18.4;0;0
37;1961-02-07;33.3;18.5;0;0
38;1961-02-08;33.5;18.8;0;0
39;1961-02-09;33.5;18.6;0;0
40;1961-02-10;32.0;20.7;0;0
41;1961-02-11;30.9;18.8;0;0
42;1961-02-12;27.3;19.4;0;0
43;1961-02-13;23.4;19.5;0;0
44;1961-02-14;26.8;17.9;0;0
45;1961-02-15;26.8;15.1;0;0
46;1961-02-16;26.4;15.0;0;0
47;1961-02-17;24.3;18.6;0;0
48;1961-02-18;27.3;18.0;0;0
49;1961-02-19;27.3;17.8;0;0
50;1961-02-20;30.7;17.2;0;0
51;1961-02-21;30.2;19.6;0;0
52;1961-02-22;30.5;19.3;0;0
53;1961-02-23;25.3;18.8;0;0
54;1961-02-24;27.7;19.3;0;0
55;1961-02-25;29.7;20.2;0;0
56;1961-02-26;30.5;21.1;0;0
57;1961-02-27;27.6;19.6;0;0
58;1961-02-28;26.7;19.6;0;0
59;1961-03-01;26.5;19.3;0;0
60;1961-03-02;28.4;17.6;0;0
61;1961-03-03;31.9;15.2;0;0
62;1961-03-04;31.9;16.2;0;0
63;1961-03-05;31.7;18.0;0;0
64;1961-03-06;27.9;19.2;0;0
65;1961-03-07;22.1;19.4;0;0
66;1961-03-08;26.4;19.1;0;0
67;1961-03-09;30.7;19.6;0;0
68;1961-03-10;33.0;18.0;0;0
69;1961-03-11;33.4;19.2;0;0
70;1961-03-12;31.1;19.7;0;0
71;1961-03-13;31.4;19.2;0;0
72;1961-03-14;30.7;18.5;0;0
73;1961-03-15;30.7;19.2;0;0
74;1961-03-16;31.0;20.0;0;0
75;1961-03-17;30.9;20.0;0;0
76;1961-03-18;28.8;19.6;0;0
77;1961-03-19;28.0;19.4;0;0
78;1961-03-20;31.4;18.4;0;0
79;1961-03-21;29.1;18.2;0;0
80;1961-03-22;32.7;19.5;0;0
81;1961-03-23;32.8;20.1;0;0
82;1961-03-24;31.4;19.7;0;0
83;1961-03-25;31.8;18.0;0;0
84;1961-03-26;31.7;18.6;0;0
85;1961-03-27;24.6;16.9;0;0
86;1961-03-28;24.4;15.2;0;0
87;1961-03-29;25.1;13.0;0;0
88;1961-03-30;26.8;13.2;0;0
89;1961-03-31;27.9;13.4;0;0
90;1961-04-01;28.9;14.0;0;0
